# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14555
#@/user_id	95b5c598-e3d7-4e3e-99a8-9ddd8ef1376f
a 	啊	c=37 d=1.81578 t=13528
shang 	上	c=55 d=1.31815 t=14549
shang ban 	上班	c=1 d=1 t=8593
shang bian 	上邊	c=1 d=1 t=10801
shang ci 	上次	c=5 d=3.34106 t=7199
shang de 	上的	c=1 d=1 t=367
shang jie 	上界	c=3 d=2.77492 t=5167
shang lai 	上來	c=1 d=1 t=12554
shang le 	上了	c=1 d=1 t=12485
shang mian 	上面	c=2 d=1 t=11770
shang sheng 	上升	c=1 d=1 t=12613
shang shu 	上述	c=15 d=3.12879 t=12287
shang tu 	上圖	c=3 d=1.54335 t=11386
shang wang 	上網	c=1 d=1 t=12398
shang wu 	上午	c=4 d=1.00001 t=10657
shang wu hao 	上唔好	c=1 d=1 t=5363
shang xia wen 	上下文	c=1 d=1 t=7307
shang yi 	上一	c=0 d=0.1 t=945
shang yi fen 	上一份	c=1 d=1 t=1295
shang yi ji 	上一級	c=1 d=1 t=946
shang yin yong 	上引用	c=1 d=1 t=2077
shao 	少	c=1 d=1 t=14359
shao deng 	稍等	c=3 d=1.01608 t=13297
shao shu 	少數	c=1 d=1 t=9205
shao shu pai 	少數派	c=1 d=1 t=9206
shao yu 	少於	c=1 d=1 t=6115
she bei 	設備	c=5 d=1.09887 t=14442
she ji 	涉及	c=6 d=1.97531 t=13010
she ji 	設計	c=45 d=1.52651 t=14528
she ji chu 	設計出	c=1 d=1 t=5565
she me 	什麼	c=1 d=1 t=13416
she zhi 	設置	c=13 d=1.94207 t=13387
she zhi wei 	設置爲	c=1 d=1 t=4120
shen 	神	c=3 d=1.0002 t=11109
shen bian 	身邊	c=1 d=1.07045 t=6896
shen bian jiu hao la 	身邊就好啦	c=1 d=1 t=6897
shen cha 	審查	c=1 d=1 t=9042
shen cha biao 	審查表	c=1 d=1 t=2795
shen e mo 	神惡魔	c=1 d=1 t=906
shen fen 	身份	c=2 d=1 t=8742
shen fen zheng 	身份證	c=1 d=1 t=8748
shen gao 	審稿	c=3 d=1.00016 t=9542
shen ji 	審計	c=0 d=0.1 t=11686
shen lun 	申論	c=0 d=0.1 t=7052
shen lun wen 	申論問	c=1 d=1 t=7053
shen me 	什麼	c=17 d=1.18971 t=13538
shen mi 	神祕	c=1 d=1 t=14175
shen pi biao 	審批表	c=1 d=1 t=2801
shen qing 	申請	c=6 d=1.50487 t=8317
shen qing shu 	申請書	c=1 d=1 t=2791
shen ru 	深入	c=3 d=1 t=12781
shen tou 	神偷	c=2 d=1.97045 t=11112
shen yang 	瀋陽	c=1 d=1 t=1345
sheng 	昇	c=2 d=1.99501 t=5784
sheng 	省	c=2 d=1.00228 t=7754
sheng chan 	生產	c=2 d=1.97045 t=7155
sheng cheng 	生成	c=2 d=1.83946 t=4162
sheng dan 	聖誕	c=1 d=1 t=8664
sheng huo 	生活	c=1 d=1 t=12788
sheng huo zhong 	生活中	c=1 d=1 t=6762
sheng ji 	升級	c=1 d=1 t=12209
sheng ming 	聲明	c=1 d=1 t=6492
sheng qi 	生氣	c=2 d=1.00003 t=11165
sheng ri 	生日	c=5 d=1.3994 t=9633
sheng wei 	省委	c=1 d=1 t=6543
sheng xiao 	生效	c=1 d=1 t=7
sheng zhe 	省着	c=1 d=1 t=13554
shi 	使	c=1 d=1 t=6203
shi 	十	c=4 d=2.22014 t=7923
shi 	式	c=9 d=1.00008 t=6524
shi 	是	c=153 d=1.29772 t=14416
shi 	時	c=13 d=1 t=11226
shi bian 	事變	c=0 d=0.1 t=5041
shi bian 	時變	c=2 d=1 t=14257
shi bian shi zhi 	事變時滯	c=1 d=1 t=5042
shi bie 	識別	c=2 d=1.00001 t=11151
shi bu shi 	是不是	c=16 d=2.76162 t=13070
shi cha 	視察	c=1 d=1 t=9696
shi dang 	適當	c=2 d=1.00003 t=5273
shi de 	使得	c=1 d=1 t=12200
shi de 	是的	c=1 d=1 t=7866
shi di 	師弟	c=2 d=1.53259 t=7565
shi fang 	釋放	c=2 d=1.956 t=2511
shi fou 	是否	c=5 d=1 t=13422
shi gong yu 	十公寓	c=1 d=1 t=7686
shi he 	適合	c=1 d=1 t=12259
shi hou 	時候	c=12 d=1.04491 t=14039
shi ji 	實際	c=20 d=1.95873 t=13851
shi jian 	事件	c=85 d=1.01631 t=12991
shi jian 	時間	c=19 d=1.38481 t=14333
shi jian cha 	時間差	c=1 d=1 t=9062
shi jian duan 	時間段	c=1 d=1 t=14406
shi jie 	世界	c=0 d=0.1 t=5419
shi jue 	視覺	c=1 d=1 t=6798
shi ke 	時刻	c=2 d=1 t=12110
shi ma 	是嗎	c=13 d=1.24051 t=13409
shi nei 	室內	c=1 d=1 t=12521
shi pin 	視頻	c=9 d=1.00749 t=14516
shi qin 	侍寢	c=1 d=1 t=10998
shi qing 	事情	c=1 d=1 t=7055
shi sha 	是啥	c=1 d=1 t=9995
shi shen me 	是什麼	c=3 d=1.13601 t=6271
shi shi 	事實	c=1 d=1 t=9627
shi shi 	試試	c=2 d=1.00004 t=12755
shi shi shang 	事實上	c=1 d=1 t=11710
shi ti dian 	實體店	c=1 d=1 t=6593
shi tu 	視圖	c=1 d=1 t=10143
shi wei 	視爲	c=3 d=2.6626 t=14413
shi wen 	室溫	c=2 d=1.49164 t=12666
shi xian 	實現	c=5 d=1.23906 t=11908
shi xiong 	師兄	c=36 d=1.16983 t=14521
shi yan shi 	實驗室	c=10 d=1.00429 t=14536
shi yao 	是要	c=1 d=1 t=7006
shi ying 	適應	c=2 d=1.00004 t=14284
shi yo 	是喲	c=0 d=0.1 t=11563
shi yo ge 	是喲個	c=1 d=1 t=11564
shi yong 	使用	c=37 d=1.13168 t=13382
shi yong 	實用	c=1 d=1 t=14523
shi yong 	適用	c=7 d=2.48861 t=6280
shi yong shou ming 	使用壽命	c=0 d=0.1 t=11931
shi yong shou ming shang 	使用壽命上	c=1 d=1 t=11932
shi yong xing 	實用性	c=1 d=1 t=3918
shi zai 	實在	c=1 d=1 t=3226
shi zhi 	是指	c=1 d=1 t=14006
shi zhi 	時滯	c=21 d=1.98514 t=14235
shi zi 	式子	c=1 d=1 t=6861
shi zuo 	視作	c=1 d=1 t=5964
shou 	受	c=1 d=1 t=8917
shou cang 	收藏	c=1 d=1 t=2874
shou dao 	受到	c=2 d=1 t=12063
shou dao 	收到	c=6 d=2.12141 t=9743
shou fei 	收費	c=3 d=1.87826 t=13589
shou hou 	售後	c=1 d=1 t=983
shou ji 	手機	c=8 d=1.77133 t=13410
shou ji shang 	手機上	c=1 d=1 t=7959
shou ju 	收據	c=3 d=1.69078 t=8831
shou lian 	收斂	c=3 d=2.71725 t=3680
shou quan 	授權	c=5 d=1.99005 t=8654
shou xian 	受限	c=17 d=1.59488 t=4972
shou xian 	首先	c=13 d=1.00286 t=5753
shou yao 	首要	c=1 d=1 t=7920
shu 	數	c=4 d=1.00339 t=11725
shu 	書	c=2 d=1.99501 t=10619
shu biao 	鼠標	c=1 d=1 t=9122
shu chu 	輸出	c=3 d=1.50409 t=13842
shu jia 	暑假	c=2 d=1.7788 t=7476
shu ju 	數據	c=20 d=1.19515 t=14303
shu ju biao 	數據表	c=1 d=1 t=2803
shu ju ku 	數據庫	c=7 d=3.79406 t=10934
shu ju xian 	數據線	c=1 d=1 t=8630
shu lian 	熟練	c=1 d=1 t=6101
shu liang 	數量	c=6 d=1 t=11738
shu ma 	數碼	c=3 d=1 t=14535
shu mu 	數目	c=1 d=1 t=9211
shu qi 	暑期	c=1 d=1 t=7425
shu qian 	書籤	c=5 d=3.82104 t=8504
shu ru 	輸入	c=10 d=1.00088 t=14554
shu ru fa 	輸入法	c=3 d=2.86814 t=8546
shu wo 	恕我	c=1 d=1 t=7903
shu xian 	豎線	c=1 d=1 t=13661
shu xue 	數學	c=2 d=1 t=14545
shu yu 	屬於	c=1 d=1 t=11514
shu zhong 	書中	c=1 d=1 t=13012
shu zi 	數字	c=1 d=1 t=9404
shu zu 	數組	c=1 d=1 t=11696
shua xin 	刷新	c=2 d=1.97531 t=13334
shuai 	帥	c=9 d=5.52177 t=11499
shuai jian 	衰減	c=14 d=0.1 t=9763
shuai jian su lv 	衰減速率	c=1 d=1 t=9764
shui jiao ba 	睡覺吧	c=1 d=1 t=1064
shui zhao le 	睡着了	c=1 d=1 t=8635
shun bian 	順便	c=2 d=1 t=7444
shun xu 	順序	c=1 d=1 t=1400
shuo 	說	c=18 d=1.00228 t=13592
shuo le 	說了	c=2 d=1.00009 t=10924
shuo ming 	說明	c=19 d=2.13083 t=14278
shuo shi 	碩士	c=12 d=1 t=14526
shuo shi hua 	說實話	c=2 d=1.98511 t=966
si 	四	c=2 d=1 t=6411
si fang 	私房	c=0 d=0.1 t=8604
si fang cai 	私房菜	c=1 d=1 t=8605
si ge 	四個	c=3 d=1.94176 t=11390
si hu 	似乎	c=1 d=1 t=12473
si lu 	思路	c=8 d=2.79684 t=11361
si xiang 	思想	c=4 d=1.00002 t=6812
song 	送	c=1 d=1 t=7094
song dao 	送到	c=1 d=1 t=432
sou 	搜	c=2 d=2.00899 t=13503
sou suo 	搜索	c=9 d=3.13826 t=13521
sou suo le 	搜索了	c=1 d=1 t=408
sou yi xia 	搜一下	c=1 d=1 t=13337
su cai 	素材	c=8 d=4.35468 t=1292
su du 	速度	c=3 d=1.96561 t=12901
su du kuai 	速度快	c=1 d=1 t=8315
su lv 	速率	c=12 d=1.00002 t=14306
su she 	宿舍	c=2 d=1.98511 t=11123
su zai 	速災	c=1 d=1 t=1194
suan 	算	c=2 d=1.00047 t=14046
suan fa 	算法	c=10 d=2.0978 t=14510
suan shi 	算是	c=2 d=1.11765 t=872
sui bian 	隨便	c=2 d=1.02573 t=13250
sui dao 	隧道	c=5 d=1.0118 t=13814
sui dao er ji guan 	隧道二極管	c=2 d=1.00108 t=6028
sui ran 	雖然	c=4 d=2.85508 t=6343
sun 	孫	c=26 d=1.00531 t=11521
suo 	所	c=20 d=1.70117 t=13970
suo de dao 	所得到	c=1 d=1 t=5777
suo fang 	縮放	c=1 d=1 t=162
suo jian 	所見	c=1 d=1 t=12980
suo li 	所裏	c=1 d=1 t=8867
suo shi 	所示	c=17 d=1 t=13823
suo shu 	所述	c=1 d=1 t=12009
suo ti chu 	所提出	c=2 d=1 t=11668
suo xie 	縮寫	c=1 d=1 t=8857
suo yan jiu 	所研究	c=1 d=1 t=4900
suo yao qiu 	所要求	c=1 d=1 t=4892
suo yi 	所以	c=14 d=3.44102 t=13492
suo yi lai 	所以來	c=1 d=1 t=7207
suo you 	所有	c=4 d=1.49659 t=12235
suo you ren 	所有人	c=1 d=1 t=12446
ta 	他	c=2 d=1.00001 t=9769
ta 	它	c=7 d=1.47606 t=13761
ta hui 	他會	c=1 d=1 t=13623
ta men 	他們	c=7 d=1.38482 t=14029
ta men 	它們	c=2 d=1.1836 t=6353
ta shi 	它是	c=1 d=1 t=13769
ta shuo 	她說	c=1 d=1 t=7179
tai 	太	c=2 d=1.16864 t=8218
tai duo 	太多	c=1 d=1 t=13526
tai jiu 	太久	c=2 d=1.63763 t=7224
tai keng 	太坑	c=1 d=1 t=506
tai ping yang 	太平洋	c=1 d=1 t=11775
tai xiao 	太小	c=1 d=1 t=10161
tan huang 	彈簧	c=2 d=1.00159 t=14152
tan ke 	坦克	c=3 d=1.99005 t=11168
tan ke shi jie 	坦克世界	c=3 d=1.35169 t=8673
tan xing 	彈性	c=5 d=4.74562 t=12888
tang 	趟	c=1 d=1 t=14055
tang niao bing 	糖尿病	c=1 d=1 t=5491
tao 	套	c=1 d=1 t=8598
tao bao 	淘寶	c=14 d=1.00002 t=13663
tao lun 	討論	c=8 d=1 t=13652
tao lun qi 	討論其	c=1 d=1 t=2610
te ci 	特此	c=1 d=1 t=7519
te dian 	特點	c=1 d=1 t=11910
te shu 	特殊	c=1 d=1 t=7511
te xing 	特性	c=2 d=1.92312 t=3012
te zheng 	特徵	c=2 d=1.64082 t=14452
te zheng zhi 	特徵值	c=1 d=1 t=206
teng xun 	騰訊	c=23 d=1 t=14515
ti 	提	c=2 d=1.97531 t=9574
ti chu 	提出	c=10 d=1 t=14220
ti dai 	替代	c=1 d=1 t=1876
ti dao 	提到	c=1 d=1 t=14165
ti gao 	提高	c=4 d=2.39732 t=11996
ti gong 	提供	c=4 d=1.00175 t=13931
ti huan 	替換	c=1 d=1 t=1183
ti ji 	提及	c=1 d=1 t=14163
ti jiao 	提交	c=2 d=1.00001 t=8753
ti mu 	題目	c=5 d=1.74082 t=5436
ti mu zhong 	題目中	c=1 d=1 t=2060
ti o jian 	提哦間	c=1 d=1 t=1725
ti shi 	提示	c=7 d=1.98928 t=9742
ti xian 	體現	c=2 d=1.86936 t=12155
ti xing 	提醒	c=1 d=1 t=9114
tian 	填	c=2 d=1 t=10831
tian 	天	c=6 d=1.02747 t=9518
tian chong 	填充	c=1 d=1 t=13073
tian jia 	添加	c=23 d=1.00006 t=14544
tian kong 	天空	c=1 d=1 t=1061
tian tang 	天堂	c=1 d=1 t=7734
tian xie 	填寫	c=4 d=1.92532 t=8033
tiao 	條	c=4 d=1.00724 t=10412
tiao 	調	c=1 d=1 t=2038
tiao cheng 	調成	c=1 d=1 t=13325
tiao jian 	條件	c=33 d=1.19943 t=14322
tiao jian xia 	條件下	c=1 d=1 t=2906
tiao jie 	調節	c=8 d=6.81755 t=9156
tiao kuan 	條款	c=1 d=1.02503 t=874
tiao shi 	調試	c=5 d=2.92308 t=10444
tiao zhan 	挑戰	c=2 d=1.47001 t=9263
tiao zheng 	調整	c=2 d=1 t=12444
tiao zheng dao 	調整到	c=1 d=1 t=9013
tiao zhuan 	跳轉	c=2 d=1.99501 t=195
tiao zhuan dao 	跳轉到	c=1 d=1 t=4148
tie pian 	貼片	c=0 d=0.1 t=2808
tie pian ji 	貼片機	c=4 d=1.76338 t=6787
tie zhuang 	貼狀	c=1 d=1 t=2820
ting liu 	停留	c=1 d=1 t=8037
ting shuo 	聽說	c=2 d=1.42741 t=952
tong 	同	c=1 d=1 t=12248
tong 	桐	c=1 d=1 t=1418
tong 	通	c=1 d=1 t=12929
tong bu 	同步	c=2 d=1 t=9183
tong chang 	通常	c=2 d=1.94649 t=5229
tong guo 	通過	c=24 d=1.58255 t=12156
tong hua 	通話	c=1 d=1 t=622
tong ji 	統計	c=5 d=1.00035 t=13619
tong li 	同理	c=4 d=1 t=11623
tong shi 	同時	c=38 d=4.40681 t=14239
tong shun 	通順	c=1 d=1 t=1787
tong xin 	通信	c=7 d=2.44218 t=12982
tong xin shang 	通信上	c=1 d=1 t=11929
tong xue 	同學	c=6 d=2.03562 t=7486
tong xun lu 	通訊錄	c=1 d=1 t=12418
tong yang 	同樣	c=1 d=1 t=5174
tong yi 	統一	c=15 d=1.98516 t=14459
tong yi ge 	同一個	c=1 d=1 t=8813
tong zhi 	通知	c=1 d=1.0051 t=878
tong zhi gong gao 	通知公告	c=1 d=1 t=284
tong zhi shu 	通知書	c=1 d=1 t=7382
tou 	偷	c=1 d=1 t=11110
tou che 	透徹	c=1 d=1 t=7608
tu 	凸	c=1 d=1.0001 t=2997
tu 	圖	c=41 d=1.16375 t=13823
tu biao 	圖標	c=5 d=1.00007 t=10838
tu chu 	突出	c=1 d=1 t=11859
tu duo mian ti 	凸多面體	c=3 d=1.00035 t=5210
tu pian 	圖片	c=18 d=1.00003 t=13169
tu piao 	禿瓢	c=1 d=1 t=8675
tu ran 	突然	c=1 d=1 t=10729
tu shang 	圖上	c=1 d=1 t=11540
tu shu guan 	圖書館	c=7 d=1 t=13687
tu you hua 	凸優化	c=1 d=1 t=1617
tu zhong 	圖中	c=6 d=1.41478 t=11785
tu zhong 	途中	c=1 d=1 t=2099
tuan dui 	團隊	c=1 d=1 t=6776
tuan jie 	團結	c=1 d=1 t=6766
tui 	腿	c=1 d=1 t=11042
tui 	退	c=1 d=1 t=480
tui chu 	推出	c=2 d=1 t=11056
tui dao 	推導	c=5 d=1.00004 t=13772
tui huo 	退貨	c=4 d=1.98571 t=8214
tui huo la 	退貨啦	c=1 d=1 t=8161
tui jian 	推薦	c=2 d=1 t=7502
tui le 	退了	c=1 d=1 t=485
tuo qian 	拖欠	c=1 d=1 t=9704
wai bu 	外部	c=3 d=1 t=10335
wai jie 	外接	c=3 d=1.00009 t=11137
wai mian 	外面	c=1 d=1 t=8621
wan 	完	c=2 d=1.00001 t=12648
wan 	晚	c=1 d=1 t=9722
wan 	玩	c=1 d=1 t=8704
wan 	萬	c=1 d=1 t=9721
wan an 	晚安	c=1 d=1 t=1068
wan bi 	完畢	c=1 d=1 t=4908
wan cheng 	完成	c=13 d=1.00002 t=13896
wan fen 	萬分	c=2 d=1 t=12503
wan mei 	完美	c=1 d=1 t=9039
wan quan 	完全	c=1 d=1 t=310
wan shang 	晚上	c=7 d=4.24082 t=10996
wan shi 	完事	c=1 d=1 t=7013
wan yi 	萬一	c=2 d=1 t=10964
wan zheng 	完整	c=4 d=1.00038 t=8920
wang 	往	c=2 d=0.140357 t=11199
wang 	王	c=3 d=1.08208 t=9631
wang 	網	c=5 d=1.00006 t=13163
wang chao 	王朝	c=0 d=0.1 t=14519
wang guan 	王冠	c=1 d=1 t=9453
wang guan 	網管	c=1 d=1 t=9452
wang han 	汪涵	c=1 d=1 t=6899
wang ji 	忘記	c=4 d=1.5975 t=6707
wang le 	忘了	c=1 d=1 t=7242
wang lu 	網路	c=1 d=1 t=4880
wang luo 	網絡	c=44 d=1.00003 t=14494
wang luo hua 	網絡化	c=1 d=1 t=5310
wang shang 	網上	c=2 d=1.08187 t=10858
wang shang mian 	往上面	c=1 d=1 t=237
wang wang 	旺旺	c=4 d=3.61386 t=9372
wang xia 	往下	c=1 d=1 t=13412
wang ye 	網頁	c=5 d=1 t=10759
wang yi 	網易	c=4 d=1.95271 t=9327
wang zhan 	網站	c=31 d=1.00131 t=13431
wang zhang 	網帳	c=2 d=1 t=10454
wang zhi 	網址	c=5 d=2.81488 t=10682
wei 	位	c=1 d=1 t=8023
wei 	未	c=2 d=1.00007 t=9194
wei 	爲	c=26 d=1.04376 t=14427
wei ba 	尾巴	c=4 d=2.95582 t=11099
wei chi 	維持	c=4 d=2.81912 t=12669
wei du 	維度	c=5 d=2.28489 t=14159
wei fu 	微服	c=1 d=1 t=11526
wei hai 	危害	c=3 d=1 t=14533
wei hu 	維護	c=1 d=1 t=261
wei lai 	未來	c=1 d=1 t=12800
wei le 	爲了	c=23 d=4.20082 t=13933
wei li 	爲例	c=2 d=1 t=13818
wei neng 	未能	c=1 d=1 t=7516
wei ruan 	微軟	c=2 d=1 t=6825
wei sha 	爲啥	c=6 d=1 t=13160
wei she me 	爲什麼	c=2 d=1.8825 t=7278
wei shen 	爲什	c=1 d=1 t=12425
wei shen me 	爲什麼	c=4 d=1.04689 t=6505
wei wo 	爲我	c=1 d=1 t=12797
wei xing 	衛星	c=1 d=1 t=12919
wei xiu 	維修	c=0 d=0.1 t=564
wei xiu di zhi 	維修地址	c=1 d=1 t=565
wei xiu dian 	維修點	c=3 d=2.23432 t=830
wei yao 	爲要	c=1 d=1 t=13161
wei yi 	唯一	c=2 d=1 t=14297
wei yuan 	委員	c=1 d=1 t=2800
wei yuan hui 	委員會	c=2 d=1.96079 t=5476
wei zhi 	位置	c=4 d=1 t=12668
wei zhi 	未知	c=1 d=1 t=6929
wei zhun 	爲準	c=1 d=1 t=1303
wen 	問	c=8 d=1.05501 t=7176
wen 	文	c=1 d=1 t=1842
wen ben 	文本	c=1 d=1 t=11595
wen bie 	吻別	c=1 d=1 t=3048
wen ding 	穩定	c=58 d=1.37568 t=12786
wen ding xing 	穩定性	c=34 d=1.81198 t=10078
wen du 	溫度	c=18 d=7.92918 t=12732
wen jian 	文件	c=11 d=2.78201 t=10711
wen jian jia 	文件夾	c=7 d=1 t=12098
wen le 	問了	c=1 d=1 t=7203
wen ti 	問題	c=82 d=3.0832 t=14330
wen wen 	問問	c=1 d=1 t=6876
wen xian 	文獻	c=1 d=1 t=1432
wen zhang 	文章	c=15 d=1.13569 t=14024
wen zhong 	文中	c=8 d=1.00007 t=13928
wen zi 	文字	c=2 d=1 t=13800
wo 	我	c=167 d=1.01454 t=14052
wo ai 	我愛	c=1 d=1 t=17
wo bu 	我不	c=0 d=0.1 t=21
wo bu zhi da 	我不直達	c=1 d=1 t=22
wo bu zhi dao 	我不知道	c=1 d=1 t=12
wo dang shi 	我當時	c=1 d=1 t=458
wo de 	我得	c=1 d=1 t=9579
wo de 	我的	c=4 d=1.03255 t=9517
wo dui 	我對	c=1 d=1 t=10243
wo fa xian 	我發現	c=1 d=1 t=6278
wo gai 	我該	c=1 d=1 t=9772
wo hai yi wei 	我還以爲	c=2 d=1 t=8565
wo ji de 	我記得	c=1 d=1 t=7983
wo jiang 	我將	c=1 d=1 t=5382
wo jiang cong 	我將從	c=1 d=1 t=5379
wo jiu 	我就	c=2 d=1.35701 t=776
wo jiu shi 	我就是	c=2 d=1 t=12517
wo jue de 	我覺得	c=3 d=1.17291 t=1255
wo kan 	我看	c=2 d=1 t=14017
wo kan le 	我看了	c=1 d=1 t=7210
wo ke 	我可	c=1 d=1 t=9565
wo ke neng 	我可能	c=1 d=1 t=8052
wo mei 	我沒	c=0 d=0.1 t=9534
wo mei ding 	我沒定	c=1 d=1 t=9535
wo men 	我們	c=25 d=1.00063 t=14438
wo neng 	我能	c=2 d=1 t=7040
wo qu 	我去	c=2 d=1 t=12752
wo shi 	我是	c=1 d=1 t=903
wo shi shi 	我試試	c=1 d=1 t=682
wo shuo 	我說	c=0 d=0.1 t=816
wo xian zai 	我現在	c=4 d=1 t=12435
wo xiang 	我想	c=4 d=1.33121 t=8088
wo yao 	我要	c=2 d=1.63763 t=665
wo yao mai 	我要買	c=2 d=1.99501 t=671
wo ye 	我也	c=1 d=1 t=1002
wo ye shi 	我也是	c=1 d=1 t=9582
wo ye yao 	我也要	c=1 d=1 t=8587
wo yi jing 	我已經	c=1 d=1 t=786
wo zhe 	我這	c=1 d=1 t=7279
wo zi ji 	我自己	c=1 d=1 t=7896
wo zui 	我最	c=0 d=0.1 t=7245
wo zui hao 	我最好	c=1 d=1 t=10911
wo zui jin 	我最進	c=1 d=1 t=7246
wu 	無	c=6 d=1.35169 t=11154
wu cha 	誤差	c=9 d=1.0001 t=13734
wu da 	武大	c=1 d=1 t=8722
wu fa 	無法	c=42 d=1.02802 t=12432
wu fa fan bo 	無法反駁	c=1 d=1 t=10993
wu hao 	唔好	c=0 d=0.1 t=5362
wu li 	物理	c=1 d=1 t=13713
wu qiong 	無窮	c=18 d=1.90065 t=13721
wu rao dong 	無擾動	c=2 d=1.07172 t=3490
wu shi wu ke 	無時無刻	c=1 d=1 t=11920
wu suo 	無所	c=0 d=0.1 t=13605
wu suo ei 	無所誒	c=1 d=1 t=13606
wu xian 	無線	c=1 d=1 t=11854
wu xiao 	無效	c=1 d=1 t=11544
xi 	系	c=1 d=1 t=7488
xi 	西	c=1 d=1 t=8728
xi dong 	翕動	c=1 d=1 t=14423
xi jie 	細節	c=1 d=1 t=9007
xi jin ping 	習近平	c=3 d=1.00129 t=11161
xi shu 	係數	c=7 d=3.19786 t=14155
xi tong 	系統	c=215 d=4.08071 t=14480
xi tong shi 	系統時	c=1 d=1 t=4862
xi tong zhong 	系統中	c=2 d=1.23693 t=3456
xi wang 	希望	c=3 d=2.41888 t=371
xi wei 	細微	c=1 d=1 t=8986
xi yin 	吸引	c=1 d=1 t=12185
xi yong 	習用	c=0 d=0.1 t=5083
xia 	下	c=64 d=1.94914 t=13450
xia dan 	下單	c=1 d=1.07672 t=514
xia dan le 	下單了	c=1 d=1 t=462
xia fang 	下方	c=1 d=1 t=7697
xia jiang 	下降	c=1 d=1 t=14388
xia lai 	下來	c=2 d=1.00004 t=12727
xia mian 	下面	c=12 d=1 t=13138
xia tu 	下圖	c=2 d=1.09348 t=4099
xia wang 	下網	c=1 d=1 t=222
xia zai 	下載	c=23 d=6.21222 t=13593
xian 	先	c=13 d=0.115299 t=14050
xian 	憲	c=2 d=1.94176 t=1415
xian 	線	c=10 d=0.100319 t=11602
xian ba 	先把	c=1 d=1 t=9540
xian er yi jian 	顯而易見	c=2 d=1.00126 t=12938
xian hou 	先後	c=3 d=1.74826 t=6786
xian mian 	先麪	c=1 d=1 t=8006
xian mu 	羨慕	c=0 d=0.1 t=8705
xian shang 	線上	c=2 d=1.625 t=891
xian shi 	顯示	c=37 d=3.13597 t=11572
xian shi qi 	顯示器	c=8 d=2.93145 t=9137
xian su 	限速	c=2 d=1.03508 t=8473
xian xia 	線下	c=2 d=1.27527 t=800
xian xiang 	現象	c=3 d=1.4607 t=12772
xian xing 	線性	c=9 d=1.07298 t=14063
xian xing hua 	線性化	c=5 d=1.73194 t=6935
xian xing ju zhen 	線性矩陣	c=1 d=1 t=14001
xian xiu xi 	先休息	c=1 d=1 t=14051
xian xu 	線序	c=1 d=1 t=4154
xian you 	現有	c=10 d=1.9323 t=14255
xian zai 	現在	c=29 d=1.08402 t=13268
xian zhu 	顯著	c=2 d=1.98511 t=12944
xian zi 	仙子	c=0 d=0.1 t=12533
xian zi a 	仙子啊	c=1 d=1 t=12534
xiang 	像	c=1 d=1 t=8219
xiang 	向	c=3 d=1.18397 t=11366
xiang 	想	c=18 d=2.71554 t=12623
xiang 	項	c=14 d=1.51133 t=6342
xiang bi 	相比	c=1 d=1.00283 t=12967
xiang bi yu 	相比於	c=1 d=1 t=12255
xiang bu chu lai 	想不出來	c=1 d=1 t=6866
xiang chu 	相處	c=1 d=1 t=6771
xiang dang di 	相當地	c=1 d=1 t=14106
xiang dao 	想到	c=2 d=1 t=11353
xiang deng 	相等	c=3 d=2.91727 t=13848
xiang dui 	相對	c=3 d=1 t=12785
xiang dui yu 	相對於	c=3 d=1 t=11814
xiang fa 	想法	c=3 d=1 t=14331
xiang fu he 	相符合	c=1 d=1 t=3764
xiang guan 	相關	c=12 d=2.08851 t=14539
xiang guo 	想過	c=1 d=1 t=11468
xiang hu 	相互	c=2 d=1.97531 t=4046
xiang ji 	相機	c=1 d=1 t=11190
xiang jia 	相加	c=2 d=1.00102 t=4453
xiang liang 	向量	c=5 d=1.98511 t=14070
xiang lin 	相鄰	c=1 d=1 t=12146
xiang mu 	項目	c=5 d=1.9802 t=9200
xiang si 	相似	c=3 d=1 t=13783
xiang tong 	相同	c=4 d=2.27556 t=6162
xiang tu 	鄉土	c=1 d=1 t=6033
xiang xi 	詳細	c=5 d=1.00354 t=13920
xiang ying 	相應	c=6 d=1.10807 t=10328
xiang ying 	響應	c=1 d=1 t=3636
xiang zhi dao 	想知道	c=1 d=1 t=14439
xiao 	小	c=1 d=1 t=1271
xiao 	校	c=1 d=1 t=1192
xiao 	梟	c=1 d=1 t=9115
xiao chu 	消除	c=2 d=1.00175 t=5709
xiao de 	小的	c=1 d=1 t=11017
xiao de 	曉得	c=1 d=1 t=11403
xiao fei 	小飛	c=0 d=0.1 t=13044
xiao fei 	消費	c=2 d=1 t=12955
xiao fei ji 	小飛機	c=5 d=2.21701 t=13321
xiao guo 	效果	c=8 d=1.97531 t=14355
xiao hai zi 	小孩子	c=1 d=1 t=904
xiao hui 	校徽	c=5 d=3.64763 t=1178
xiao lun wen 	小論文	c=2 d=1.97531 t=14543
xiao lv 	效率	c=2 d=1 t=12030
xiao ri zi 	小日子	c=1 d=1 t=9520
xiao shi 	消失	c=1 d=1 t=9188
xiao shuo 	小說	c=1 d=1 t=3587
xiao wen ti 	小問題	c=1 d=1 t=8992
xiao yu 	小於	c=6 d=1.73442 t=4572
xiao yuan wang 	校園網	c=3 d=1.96079 t=13479
